created_at,screen_name,text,source,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,media_type,mentions_screen_name,place_name,bbox_coords
2018-01-07T14:43:03Z,HintsWieIsDeMol,Weer een hint naar Simone of Bella? #widm #wieisdemol https://t.co/aiLLQPt8yu,Twitter for Android,NA,TRUE,FALSE,0,0,"widm, wieisdemol","NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:42:54Z,AndSimonSaid,"Ik doe even een shoutout naar @BoszhardRon.  Hoor net dat hij eruit lag bij #widm, terwijl hij zo graag mee wilde doen. Echt sad. Oh! En zijn kinderprogramma’s zijn top, vind ik. #hartonderderiemtweet",Twitter for iPhone,NA,FALSE,FALSE,1,0,"widm, hartonderderiemtweet","NA",BoszhardRon,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:41:30Z,DV_Servers,#widm hints en theorieën van Felix...  https://t.co/tIRAPotY67,Twitter for Android,NA,FALSE,FALSE,0,0,widm,"NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:40:35Z,Dennboss,@creatiffdutch @DeTunnelvisie @felixwidm @zegmaarthies @paulvanderlaken @WIDM_Fans @_julia_thieme_ @rockandvulcan @Stoeriee Ik wist niet eens dat er een strijd was 🙊😂,Twitter for Android,creatiffdutch,FALSE,FALSE,0,0,"NA","NA","creatiffdutch, DeTunnelvisie, felixwidm, zegmaarthies, paulvanderlaken, WIDM_Fans, _julia_thieme_, rockandvulcan, Stoeriee",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:40:14Z,creatiffdutch,#Widm gemist? We doen het even samenvatten in pics: Je belt niet ongelegen... https://t.co/AVeLN3N8vi,Twitter for iPhone,NA,FALSE,FALSE,0,0,Widm,photo,"NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:40:02Z,Sannekwettert,Dit is leuker dan #moltalk #widm : #gudograaft https://t.co/xAzERocGhC,Twitter for iPhone,NA,TRUE,FALSE,1,0,"moltalk, widm, gudograaft","NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:38:55Z,anna_d_78,"Ik denk dat mijn molletje op dit moment Simone is #moltalk #widm  Tenzij ik last ga krijgen van tunnelvisie. ������ Nu nog even op zoek naar dat ""neem een kijkje"" en ""gekleurd glas"" om de link te leggen. (Mak jaar bok - kob raaj kam) https://t.co/mt4fS6j0ba",Twitter for Android,NA,FALSE,FALSE,0,0,"moltalk, widm",photo,"NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:38:30Z,klaasmans,"Yes! Tijd voor nieuwe videos in dit nieuwe jaar, en ik wil beginnen met een Q&amp A. Over #widm, over #klaaskkanalles, #over fotografie, maar eigenlijk mag je alles ������������ Wat wil je weten? Laat hieronder achter en wie weet zit je straks in de nieuw... - https://t.co/PI4gCudRwi",Mobypicture,NA,FALSE,FALSE,1,0,"widm, klaaskkanalles, over","NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:38:14Z,creatiffdutch,@DeTunnelvisie @felixwidm @zegmaarthies @Dennboss @paulvanderlaken @WIDM_Fans @_julia_thieme_ @rockandvulcan @Stoeriee Strijden? Ik deed niet eens mijn best... 😜😜😜😜,Twitter for iPhone,DeTunnelvisie,FALSE,FALSE,1,0,"NA","NA","DeTunnelvisie, felixwidm, zegmaarthies, Dennboss, paulvanderlaken, WIDM_Fans, _julia_thieme_, rockandvulcan, Stoeriee",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:38:02Z,tina_broekema,@sylviawitteman Nee.  Het is elke keer weer een verbijsterende constatering dat verder heel redelijke mensen verbeten gaan rondlopen met het widm-boekje.,Twitter for Android,sylviawitteman,FALSE,FALSE,0,0,"NA","NA",sylviawitteman,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:38:02Z,JudithVanWeel,@WieIsDeMol Dagboek van de afvaller. Waarom geen naam? En die laatste zin...? Hmmmm #widm #moltalk https://t.co/1QotRnmp5A,Twitter for iPhone,WieIsDeMol,FALSE,FALSE,0,0,"widm, moltalk",photo,WieIsDeMol,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:36:17Z,Liedje87,Wat een kort gesprek. En opgenomen en niet een live gesprek? #raarrrrr #widm https://t.co/M5YH7sFLRM,Twitter for Android,NA,TRUE,FALSE,0,0,"raarrrrr, widm","NA","NA",Weststellingwerf,"5.8181202, 6.2472024, 6.2472024, 5.8181202, 52.800718, 52.800718, 52.9429448, 52.9429448"
2018-01-07T14:36:12Z,fedor_velde,@dijkshoorn Nog nooit gevolgd WIDM.,Twitter for Android,dijkshoorn,FALSE,FALSE,0,0,"NA","NA",dijkshoorn,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:35:50Z,HintsWieIsDeMol,Oud-mol Klaas van Kruistum analyseert de aflevering van gisteren. #widm #wieisdemol https://t.co/4Kkir2LfwH,Twitter for Android,NA,TRUE,FALSE,0,0,"widm, wieisdemol","NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:35:42Z,RealityNetOrg,. @BoszhardRon  een achtbaan in de Efteling duurt langer dan mijn molavontuur #widm,TweetDeck,NA,FALSE,FALSE,0,0,widm,"NA",BoszhardRon,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:33:54Z,WdeGelder,Haha dat begin van #widm. Fantastisch!,Twitter for Android,NA,FALSE,FALSE,0,0,widm,"NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:33:45Z,De_Infiltrant,Keert @BoszhardRon volgende week terug in #widm?,Twitter Web Client,NA,FALSE,FALSE,0,0,widm,"NA",BoszhardRon,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:33:36Z,GerardHimself,Ron NU op @NPORadio2 bij @Annemiekeishere! #widm,Twitter for Android,NA,FALSE,FALSE,1,1,widm,"NA","NPORadio2, Annemiekeishere",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:32:49Z,JurDrums,#widm terugkijkende,Twitter for Android,NA,FALSE,FALSE,0,0,widm,"NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:31:48Z,DeTunnelvisie,"@felixwidm @zegmaarthies @Dennboss @paulvanderlaken @WIDM_Fans @creatiffdutch @_julia_thieme_ @rockandvulcan @Stoeriee Hahaha, dacht het niet! Ik ga volgende aflevering weer strijden voor die titel 😂",Twitter for Android,felixwidm,FALSE,FALSE,2,0,"NA","NA","felixwidm, zegmaarthies, Dennboss, paulvanderlaken, WIDM_Fans, creatiffdutch, _julia_thieme_, rockandvulcan, Stoeriee",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:31:32Z,Annika555,"Net #widm gekeken dus nu kan ik weer rustig op Twitter gluren zonder bang te zijn voor spoilers. Viel mij op dat op het moment dat Jean-Marc zijn naam typt, Art het woord 'Mol' zegt in de voice-over. Jaaaaaa........",Twitter for Android,NA,FALSE,FALSE,0,0,widm,"NA","NA",NA,"NA, NA, NA, NA, NA, NA, NA, NA"
2018-01-07T14:30:58Z,Frankk_1108,Hahaha Margriet somt dit het mooiste op.  (Let op man rechts)  #widm #widm2018  #moltalk @WieIsDeMol https://t.co/kYGnhQ2dOr,Twitter for Android,NA,FALSE,FALSE,0,0,"widm, widm2018, moltalk",photo,WieIsDeMol,NA,"NA, NA, NA, NA, NA, NA, NA, NA"
